loan_id, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, loan_status
102, Not Graduate, Yes,300000,1100000,2,702,300000, Approved
103, Not Graduate, Yes,4300000,12900000,20,618,11400000, Approved
104, Graduate, No,1600000,4500000,12,633,700000, Approved
105, Not Graduate, Yes,6200000,23600000,10,331,18500000, Rejected
106, Not Graduate, Yes,4200000,9700000,16,841,7800000, Approved
107, Not Graduate, Yes,9000000,18100000,12,764,600000, Approved
108, Graduate, No,2700000,10600000,6,591,1300000, Approved
109, Graduate, Yes,9700000,35900000,2,719,19600000, Approved
110, Graduate, No,3300000,6800000,14,317,3400000, Rejected
111, Not Graduate, No,300000,1100000,8,778,800000, Approved
112, Graduate, Yes,7400000,18200000,14,302,5600000, Rejected
113, Not Graduate, No,7100000,19700000,8,502,7300000, Rejected
114, Not Graduate, Yes,7300000,22100000,18,879,19500000, Approved
115, Not Graduate, No,8400000,23400000,14,437,15400000, Rejected
116, Not Graduate, Yes,3300000,10800000,12,797,600000, Approved
117, Not Graduate, Yes,5800000,23200000,18,456,16100000, Rejected
118, Not Graduate, No,600000,1600000,6,647,1500000, Approved
119, Not Graduate, No,7200000,15800000,12,379,12700000, Rejected
120, Not Graduate, Yes,9100000,32900000,2,717,2200000, Approved
121, Graduate, No,900000,2300000,16,545,100000, Rejected
122, Graduate, No,800000,3200000,8,317,300000, Rejected
123, Not Graduate, No,8500000,32900000,10,570,5100000, Approved
124, Not Graduate, Yes,9000000,18700000,18,865,26800000, Approved
125, Graduate, No,7000000,19500000,14,719,12200000, Approved
126, Graduate, No,200000,600000,16,821,400000, Approved
127, Not Graduate, Yes,400000,800000,10,859,900000, Approved
128, Not Graduate, No,5100000,18200000,10,395,100000, Rejected
129, Not Graduate, Yes,700000,2600000,12,429,1600000, Rejected
130, Graduate, No,400000,1200000,12,861,200000, Approved
131, Not Graduate, Yes,9500000,20800000,14,565,15100000, Approved
132, Graduate, No,8800000,22600000,10,357,7900000, Rejected
133, Not Graduate, Yes,1800000,3600000,18,465,600000, Rejected
134, Not Graduate, Yes,6800000,13900000,8,479,11700000, Rejected
135, Not Graduate, No,1500000,5500000,16,717,2100000, Approved
136, Graduate, No,1600000,5500000,12,425,600000, Rejected
137, Not Graduate, No,4600000,16700000,2,786,200000, Approved
138, Not Graduate, Yes,2200000,6700000,6,382,4400000, Rejected
139, Not Graduate, Yes,2900000,8500000,12,564,1000000, Approved
140, Graduate, No,200000,700000,8,501,500000, Rejected
141, Not Graduate, Yes,2500000,9400000,10,727,6600000, Approved
142, Not Graduate, No,3600000,7500000,6,894,1100000, Approved
143, Graduate, Yes,5500000,16700000,18,829,5500000, Approved
144, Not Graduate, No,6600000,17400000,20,506,2600000, Rejected
145, Graduate, Yes,8600000,32100000,6,802,9400000, Approved
146, Not Graduate, No,600000,1500000,14,543,300000, Rejected
147, Graduate, Yes,1400000,3200000,20,772,2400000, Approved
148, Graduate, No,4000000,11100000,12,572,9700000, Approved
149, Not Graduate, Yes,4900000,11900000,16,709,14600000, Approved
150, Graduate, No,2000000,6200000,18,402,4000000, Rejected
151, Not Graduate, Yes,5200000,19300000,8,481,14300000, Rejected
152, Graduate, Yes,8900000,28800000,6,772,13600000, Approved
153, Graduate, Yes,6500000,20600000,2,306,15900000, Approved
154, Not Graduate, No,1300000,4500000,6,415,0, Rejected
155, Not Graduate, No,9400000,35000000,16,548,18200000, Rejected
156, Not Graduate, No,5000000,11200000,8,701,9100000, Approved
157, Graduate, No,3000000,7700000,12,890,4700000, Approved
158, Not Graduate, Yes,9900000,33300000,6,364,5300000, Rejected
159, Graduate, Yes,700000,1300000,20,704,1600000, Approved
160, Graduate, Yes,4000000,10600000,10,318,1500000, Rejected
161, Not Graduate, No,3100000,9600000,2,761,5800000, Approved
162, Not Graduate, No,4500000,15100000,6,693,3700000, Approved
163, Not Graduate, No,9700000,20600000,16,524,24200000, Rejected
164, Not Graduate, Yes,2000000,5300000,10,681,4900000, Approved
165, Graduate, Yes,8100000,22300000,18,737,22300000, Approved
166, Not Graduate, No,5700000,15900000,16,638,100000, Approved
167, Not Graduate, No,5800000,12800000,2,656,500000, Approved
168, Graduate, No,1800000,6500000,6,540,2500000, Rejected
169, Not Graduate, Yes,9100000,35200000,6,341,1000000, Rejected
170, Not Graduate, Yes,4800000,17500000,2,371,11700000, Approved
171, Not Graduate, Yes,3800000,10500000,12,886,4000000, Approved
172, Not Graduate, No,1900000,4100000,18,801,400000, Approved
173, Not Graduate, Yes,3600000,9500000,16,748,7700000, Approved
174, Not Graduate, Yes,7400000,28200000,8,376,21900000, Rejected
175, Not Graduate, Yes,6600000,14300000,8,371,10800000, Rejected
176, Graduate, No,1800000,5300000,6,826,4500000, Approved
177, Not Graduate, No,9200000,27200000,12,873,4500000, Approved
178, Not Graduate, Yes,2400000,8600000,8,309,500000, Rejected
179, Not Graduate, No,5600000,13300000,20,869,3300000, Approved
180, Graduate, No,3800000,13900000,12,534,4700000, Rejected
181, Not Graduate, Yes,4500000,17900000,6,787,9800000, Approved
182, Graduate, Yes,900000,2200000,16,566,100000, Approved
183, Not Graduate, No,2800000,9900000,8,742,4900000, Approved
184, Not Graduate, No,7500000,23100000,4,824,12100000, Approved
185, Graduate, No,1400000,3100000,14,575,3000000, Approved
186, Graduate, Yes,3800000,10900000,10,766,1900000, Approved
187, Not Graduate, Yes,1700000,5000000,10,888,2900000, Approved
188, Graduate, Yes,9000000,30400000,6,638,16800000, Approved
189, Not Graduate, Yes,7300000,23300000,6,622,7100000, Approved
190, Not Graduate, No,7400000,19800000,18,458,12600000, Rejected
191, Not Graduate, No,9000000,28200000,16,327,1700000, Rejected
192, Not Graduate, No,3000000,6500000,2,612,8800000, Approved
193, Graduate, No,800000,2900000,8,682,2200000, Approved
194, Graduate, No,4800000,13200000,2,583,13700000, Approved
195, Not Graduate, No,6400000,18300000,8,697,10000000, Approved
196, Graduate, No,9200000,27100000,12,306,5800000, Rejected
197, Not Graduate, Yes,400000,1500000,2,669,-100000, Approved
198, Not Graduate, No,2800000,6000000,18,816,6300000, Approved
199, Not Graduate, Yes,8500000,28900000,20,455,15200000, Rejected
200, Graduate, Yes,4700000,16400000,10,318,11400000, Rejected
201, Not Graduate, Yes,9800000,21200000,20,355,22000000, Rejected
202, Not Graduate, Yes,3800000,8900000,16,389,200000, Rejected
203, Graduate, No,500000,1500000,2,888,1500000, Approved
204, Graduate, Yes,6900000,15600000,6,352,13000000, Rejected
205, Not Graduate, Yes,9600000,30100000,12,870,300000, Approved
206, Not Graduate, No,2900000,6500000,18,827,8300000, Approved
207, Graduate, No,9800000,20900000,12,768,3400000, Approved
208, Graduate, No,7100000,15400000,18,707,10300000, Approved
209, Not Graduate, Yes,7700000,19100000,10,355,11300000, Rejected
210, Graduate, No,1400000,3300000,2,652,100000, Approved
211, Graduate, No,7800000,15900000,2,665,14400000, Approved
212, Not Graduate, Yes,1700000,6000000,18,420,500000, Rejected
213, Not Graduate, No,8500000,32700000,18,471,12600000, Rejected
214, Not Graduate, No,1900000,7500000,20,715,5100000, Approved
215, Not Graduate, Yes,6700000,15200000,10,689,0, Approved
216, Graduate, Yes,6900000,16400000,4,787,11100000, Approved
217, Graduate, No,2600000,7800000,4,819,3100000, Approved
218, Graduate, Yes,9600000,21100000,6,809,16100000, Approved
219, Not Graduate, Yes,6800000,17000000,2,744,15500000, Approved
220, Not Graduate, No,3200000,11300000,6,484,3500000, Rejected
221, Not Graduate, No,2900000,10400000,6,673,5100000, Approved
222, Graduate, Yes,7900000,21200000,18,695,13800000, Approved
223, Not Graduate, Yes,3900000,12400000,12,473,6400000, Rejected
224, Graduate, Yes,4600000,11000000,2,491,9000000, Rejected
225, Not Graduate, Yes,700000,1700000,8,733,1200000, Approved
226, Not Graduate, No,5200000,15600000,20,434,14100000, Rejected
227, Not Graduate, Yes,5900000,20600000,10,777,1900000, Approved
228, Graduate, No,7200000,19100000,4,774,9400000, Approved
229, Not Graduate, Yes,8700000,27000000,10,717,25500000, Approved
230, Not Graduate, Yes,1100000,3500000,12,503,3000000, Rejected
231, Graduate, Yes,4000000,10900000,14,598,3600000, Approved
232, Graduate, No,9800000,32400000,2,543,24200000, Approved
233, Not Graduate, Yes,2700000,6800000,20,796,700000, Approved
234, Not Graduate, Yes,8800000,34600000,8,386,14800000, Rejected
235, Not Graduate, Yes,3300000,7800000,16,632,8500000, Approved
236, Graduate, Yes,6900000,23400000,4,481,18700000, Approved
237, Graduate, Yes,900000,3500000,4,770,700000, Rejected
238, Graduate, Yes,4100000,15500000,6,667,2800000, Approved
239, Not Graduate, Yes,4700000,17500000,8,585,1200000, Approved
240, Graduate, Yes,3400000,11600000,16,479,9200000, Rejected
241, Graduate, No,9600000,22500000,18,851,7400000, Approved
242, Not Graduate, Yes,7000000,16200000,6,378,20000000, Rejected
243, Graduate, No,5700000,12900000,18,807,4100000, Approved
244, Not Graduate, Yes,8200000,32400000,18,831,22800000, Approved
245, Not Graduate, No,2100000,5100000,12,674,2200000, Approved
246, Not Graduate, Yes,8000000,28100000,18,725,1900000, Approved
247, Not Graduate, No,8000000,29300000,4,600,16500000, Approved
248, Not Graduate, Yes,9400000,27000000,10,536,4400000, Rejected
249, Graduate, No,8400000,20600000,10,477,1500000, Rejected
250, Not Graduate, Yes,1900000,5000000,6,560,1000000, Approved
251, Not Graduate, Yes,4200000,16400000,20,539,9500000, Rejected
252, Graduate, No,2600000,9100000,8,852,3700000, Approved
253, Not Graduate, No,3700000,8500000,20,853,8300000, Approved
254, Graduate, No,8800000,30900000,12,729,1700000, Approved
255, Not Graduate, No,2100000,4700000,2,546,6000000, Rejected
256, Graduate, Yes,900000,2400000,10,489,800000, Rejected
257, Graduate, Yes,9800000,35400000,6,869,14400000, Approved
258, Not Graduate, No,8000000,20000000,2,502,4100000, Rejected
259, Graduate, No,9800000,38800000,8,652,23200000, Approved
260, Not Graduate, Yes,300000,1100000,8,789,400000, Approved
261, Not Graduate, No,2700000,8100000,4,325,5000000, Approved
262, Graduate, Yes,7400000,19600000,2,716,4100000, Approved
263, Graduate, No,9200000,34300000,18,523,25600000, Rejected
264, Not Graduate, No,9500000,22200000,20,352,24500000, Rejected
265, Graduate, Yes,3800000,14400000,2,345,3300000, Approved
266, Graduate, No,8300000,19400000,18,649,2500000, Approved
267, Graduate, Yes,2800000,7400000,18,666,100000, Approved
268, Graduate, No,8600000,20900000,10,813,11300000, Approved
269, Not Graduate, No,5400000,16800000,10,599,5300000, Approved
270, Graduate, Yes,4200000,9400000,6,678,4700000, Approved
271, Not Graduate, No,5200000,12200000,20,513,13400000, Rejected
272, Graduate, No,9400000,27900000,4,870,1100000, Approved
273, Graduate, No,8800000,20400000,8,483,3200000, Rejected
274, Graduate, Yes,5900000,16700000,16,308,5800000, Rejected
275, Graduate, Yes,1700000,4900000,16,591,4700000, Approved
276, Not Graduate, No,7000000,23000000,10,886,14000000, Approved
277, Not Graduate, No,1700000,4000000,6,829,0, Approved
278, Not Graduate, No,1500000,4900000,12,651,1600000, Approved
279, Not Graduate, No,2000000,4700000,18,733,3700000, Approved
280, Graduate, Yes,3900000,15500000,12,433,9500000, Rejected
281, Graduate, Yes,900000,3600000,14,713,1300000, Approved
282, Graduate, No,6900000,22500000,18,403,800000, Rejected
283, Graduate, Yes,2800000,7800000,10,405,7800000, Rejected
284, Graduate, Yes,6800000,19900000,10,516,16000000, Rejected
285, Not Graduate, Yes,600000,1800000,8,417,1700000, Rejected
286, Not Graduate, No,4700000,14000000,6,468,11300000, Rejected
287, Graduate, Yes,3000000,11800000,10,672,8700000, Approved
288, Not Graduate, No,4000000,13900000,6,530,6000000, Rejected
289, Not Graduate, Yes,3100000,11300000,14,824,3700000, Approved
290, Not Graduate, Yes,7700000,25500000,12,549,18100000, Rejected
291, Not Graduate, Yes,4300000,9300000,10,450,2100000, Rejected
292, Graduate, Yes,5800000,19500000,20,431,13800000, Rejected
293, Graduate, Yes,3600000,10700000,16,312,2300000, Rejected
294, Not Graduate, Yes,2900000,7600000,8,320,8000000, Rejected
295, Graduate, No,8800000,20200000,4,433,16000000, Rejected
296, Not Graduate, Yes,300000,1000000,10,431,400000, Rejected
297, Not Graduate, Yes,8600000,28900000,8,516,9900000, Rejected
298, Not Graduate, Yes,3500000,12000000,14,476,1100000, Rejected
299, Graduate, No,800000,2600000,6,560,100000, Approved
300, Graduate, No,8000000,27100000,12,674,14400000, Approved
301, Not Graduate, Yes,9900000,38200000,6,573,17200000, Approved
302, Not Graduate, No,3300000,6600000,6,331,6300000, Rejected
303, Graduate, Yes,2000000,6700000,12,633,100000, Approved
304, Not Graduate, No,4900000,12900000,18,877,1800000, Approved
305, Not Graduate, Yes,9200000,23600000,12,656,1400000, Approved
306, Not Graduate, No,7500000,18200000,6,782,7400000, Approved
307, Not Graduate, No,9000000,29300000,4,531,10400000, Approved
308, Not Graduate, No,1400000,4100000,8,455,3000000, Rejected
309, Graduate, No,9600000,19900000,14,452,4200000, Rejected
310, Graduate, No,8400000,33200000,14,474,19600000, Rejected
311, Not Graduate, No,6400000,24400000,4,483,7800000, Approved
312, Graduate, No,5900000,16800000,8,481,6900000, Rejected
313, Graduate, Yes,2200000,5100000,20,859,3800000, Approved
314, Graduate, Yes,5600000,14100000,14,696,9000000, Approved
315, Not Graduate, No,9800000,28700000,6,778,16600000, Approved
316, Graduate, No,4400000,14600000,4,499,1300000, Approved
317, Not Graduate, Yes,2400000,4900000,4,888,6400000, Approved
318, Graduate, No,4400000,10800000,12,674,9600000, Approved
319, Graduate, No,3700000,13200000,4,802,9800000, Approved
320, Not Graduate, Yes,2300000,7800000,8,540,1500000, Rejected
321, Graduate, Yes,5900000,19600000,8,726,17400000, Approved
322, Not Graduate, Yes,6400000,23500000,2,485,7300000, Approved
323, Graduate, Yes,4900000,17100000,6,612,1300000, Approved
324, Not Graduate, Yes,9500000,24200000,8,879,3100000, Approved
325, Not Graduate, No,5700000,16400000,12,708,3700000, Approved
326, Not Graduate, Yes,2700000,5700000,8,850,3500000, Approved
327, Not Graduate, Yes,3900000,11300000,12,516,3100000, Rejected
328, Not Graduate, No,7800000,28800000,12,465,4700000, Rejected
329, Graduate, No,1100000,3200000,20,716,1800000, Approved
330, Not Graduate, No,200000,600000,10,404,0, Rejected
331, Not Graduate, Yes,4700000,10600000,20,512,8400000, Rejected
332, Not Graduate, Yes,8200000,20600000,10,441,16100000, Rejected
333, Not Graduate, Yes,4600000,18400000,2,555,7700000, Approved
334, Not Graduate, No,1800000,7000000,18,466,2600000, Rejected
335, Graduate, Yes,3200000,8600000,2,427,3900000, Rejected
336, Not Graduate, Yes,5500000,20000000,14,593,15100000, Approved
337, Graduate, No,7900000,18300000,10,731,4200000, Approved
338, Graduate, Yes,4000000,10100000,16,451,7000000, Rejected
339, Not Graduate, Yes,6800000,16900000,18,628,3600000, Approved
340, Not Graduate, No,2700000,9400000,18,704,5300000, Approved
341, Not Graduate, No,6800000,23500000,12,341,19300000, Rejected
342, Graduate, No,8600000,21000000,8,465,11700000, Rejected
343, Graduate, No,8000000,30100000,4,431,11900000, Approved
344, Graduate, Yes,3700000,12600000,10,424,5400000, Rejected
345, Graduate, No,2600000,5100000,14,678,500000, Approved
346, Graduate, No,4200000,16800000,6,381,9600000, Rejected
347, Graduate, Yes,8000000,28000000,10,449,18500000, Rejected
348, Not Graduate, No,7100000,23500000,12,768,6400000, Approved
349, Not Graduate, No,2000000,7000000,6,666,0, Rejected
350, Not Graduate, Yes,5800000,13300000,14,742,16100000, Approved
351, Not Graduate, Yes,6700000,15800000,4,445,10500000, Rejected
352, Graduate, No,7300000,28700000,14,634,5900000, Approved
353, Not Graduate, No,3300000,9700000,14,782,2500000, Approved
354, Graduate, No,3000000,7000000,10,781,7200000, Approved
355, Not Graduate, No,7900000,17200000,14,318,14200000, Rejected
356, Not Graduate, No,7600000,24100000,18,721,21900000, Approved
357, Not Graduate, No,3700000,9800000,4,563,9500000, Approved
358, Not Graduate, No,8400000,26300000,4,419,22900000, Approved
359, Graduate, Yes,8200000,20800000,14,372,3800000, Rejected
360, Not Graduate, No,2900000,9500000,18,885,4300000, Approved
361, Not Graduate, Yes,9900000,38400000,12,596,10000000, Approved
362, Graduate, No,4400000,14100000,2,349,3300000, Approved
363, Not Graduate, Yes,9000000,32200000,16,468,4500000, Rejected
364, Not Graduate, Yes,6800000,26900000,16,818,14700000, Approved
365, Not Graduate, No,8700000,28000000,12,543,16900000, Rejected
366, Graduate, No,9400000,21900000,16,685,8100000, Approved
367, Not Graduate, Yes,6000000,12500000,18,851,14600000, Approved
368, Not Graduate, Yes,9400000,29800000,10,377,24100000, Rejected
369, Not Graduate, Yes,1000000,4000000,10,620,2400000, Approved
370, Graduate, Yes,900000,2300000,20,611,600000, Approved
371, Not Graduate, No,2100000,7700000,4,767,1200000, Approved
372, Graduate, Yes,1100000,3200000,20,592,3200000, Approved
373, Graduate, Yes,600000,2300000,4,319,1600000, Approved
374, Not Graduate, Yes,9200000,25500000,10,900,9400000, Approved
375, Not Graduate, Yes,3600000,12800000,18,814,8600000, Approved
376, Not Graduate, Yes,1300000,5000000,10,755,2100000, Approved
377, Graduate, Yes,7700000,16800000,20,584,8600000, Approved
378, Graduate, Yes,9500000,23500000,14,380,22900000, Rejected
379, Not Graduate, Yes,5000000,17600000,20,465,6200000, Rejected
380, Not Graduate, No,500000,1800000,2,531,1300000, Approved
381, Graduate, Yes,8300000,32100000,16,814,18500000, Approved
382, Graduate, No,5300000,17900000,6,678,4700000, Approved
383, Not Graduate, Yes,9300000,29000000,12,655,7900000, Approved
384, Not Graduate, No,2300000,7400000,2,682,6500000, Approved
385, Not Graduate, No,400000,1300000,6,695,200000, Approved
386, Not Graduate, No,3200000,10800000,4,833,2600000, Approved
387, Not Graduate, Yes,9400000,35300000,16,302,4100000, Rejected
388, Graduate, No,2300000,6600000,2,357,5900000, Rejected
389, Not Graduate, No,4300000,14500000,12,302,12500000, Rejected
390, Graduate, Yes,6200000,22400000,18,873,15700000, Approved
391, Not Graduate, Yes,7200000,19800000,12,658,12700000, Approved
392, Graduate, Yes,2400000,8700000,18,877,2800000, Approved
393, Not Graduate, No,2900000,6300000,8,648,3400000, Approved
394, Graduate, No,1400000,5200000,12,730,2900000, Approved
395, Not Graduate, Yes,2200000,8200000,14,737,5800000, Approved
396, Graduate, Yes,800000,3200000,10,584,0, Rejected
397, Graduate, No,600000,1700000,2,621,400000, Approved
398, Graduate, Yes,700000,2700000,16,583,1100000, Approved
399, Not Graduate, No,8400000,25900000,16,621,8600000, Approved
400, Not Graduate, No,7100000,21500000,16,610,5800000, Approved
401, Graduate, No,5400000,15700000,18,452,13700000, Rejected
402, Graduate, No,3700000,7300000,18,339,9300000, Rejected
403, Graduate, Yes,5200000,15200000,16,650,1300000, Approved
404, Not Graduate, Yes,200000,700000,10,672,200000, Approved
405, Graduate, No,500000,1000000,20,501,800000, Rejected
406, Not Graduate, Yes,1800000,5700000,4,809,1200000, Approved
407, Graduate, Yes,9200000,29400000,8,318,18000000, Rejected
408, Not Graduate, No,900000,3300000,10,649,0, Approved
409, Not Graduate, No,7500000,28300000,12,367,9200000, Rejected
410, Not Graduate, No,3000000,11800000,6,847,8200000, Approved
411, Graduate, No,7100000,18900000,12,360,10700000, Rejected
412, Graduate, Yes,3500000,7200000,2,865,4100000, Approved
413, Not Graduate, No,4900000,18800000,16,880,4200000, Approved
414, Graduate, No,4100000,8400000,20,608,1400000, Approved
415, Graduate, Yes,800000,2100000,6,760,300000, Approved
416, Graduate, Yes,1700000,4600000,12,385,1500000, Rejected
417, Graduate, Yes,6100000,23300000,12,478,3800000, Rejected
418, Graduate, Yes,2100000,7700000,16,327,5000000, Rejected
419, Graduate, No,3100000,9300000,6,663,1300000, Approved
420, Not Graduate, Yes,1700000,3500000,20,693,2200000, Approved
421, Graduate, No,1700000,5400000,6,710,4800000, Approved
422, Not Graduate, Yes,4000000,14500000,6,711,2400000, Approved
423, Graduate, No,5600000,18400000,8,386,11300000, Rejected
424, Graduate, Yes,3900000,11900000,10,855,10200000, Approved
425, Graduate, Yes,6100000,15300000,14,573,1100000, Approved
426, Graduate, Yes,1100000,2800000,18,431,500000, Rejected
427, Graduate, No,5500000,14800000,8,364,13000000, Rejected
428, Graduate, Yes,1100000,3600000,14,711,2500000, Approved
429, Not Graduate, Yes,400000,900000,20,771,1000000, Approved
430, Graduate, No,9200000,36400000,18,669,3100000, Approved
431, Not Graduate, Yes,9300000,27500000,18,338,21500000, Rejected
432, Graduate, No,1100000,3500000,8,562,2300000, Approved
433, Not Graduate, No,5600000,18700000,2,769,8000000, Approved
434, Graduate, Yes,6300000,21500000,8,629,600000, Approved
435, Graduate, No,8800000,18100000,6,699,6400000, Approved
436, Not Graduate, No,8400000,20800000,20,590,5100000, Approved
437, Graduate, Yes,1600000,5700000,4,707,3300000, Approved
438, Not Graduate, Yes,4500000,11400000,8,391,8500000, Rejected
439, Not Graduate, No,6500000,18500000,4,891,13600000, Approved
440, Graduate, Yes,9500000,20600000,2,731,13400000, Approved
441, Not Graduate, No,4700000,16700000,12,775,4000000, Approved
442, Graduate, Yes,9600000,32400000,2,897,3500000, Approved
443, Graduate, No,8000000,26700000,20,794,8000000, Approved
444, Graduate, No,7700000,16700000,6,555,12900000, Approved
445, Not Graduate, Yes,3600000,10300000,12,536,6800000, Rejected
446, Not Graduate, No,700000,1700000,10,839,100000, Approved
